live_slug|live_title|live_cat|rms_id|db_title|db_cat|pts|margin|mutual|db_margin|runner_rms|runner_title|runner_pts|evidence
midas-antique-gold-flatware|Midas Antique Gold Flatware|tableware|2937|Midas Matte Gold Dessert/Tea Spoon|tableware|3|0|true|3|2934|Midas Matte Gold Dinner Knife|3|{"shared_tokens":["midas","gold"],"category":true}
arian-antique-silver-flatware|Arian Antique Silver Flatware|tableware|3427|Anastasia Antique Silver Butter Knife|tableware|3|0|false|1|3425|Anastasia Antique Silver Dinner Knife|3|{"shared_tokens":["antique","silver"],"category":true}
beige-embroidered-pillow|Beige Embroidered Pillow|textiles|3192|Beige Embroidered Oversize Pillow|pillows-throws|3|3|true|3||||{"shared_tokens":["beige","embroidered"],"category":true}
brown-rust-mudcloth-oversize-lumbar|Brown Rust Mudcloth Oversize Lumbar|textiles|2783|Ivory Mudcloth Lumbar|pillows-throws|3|3|true|0||||{"shared_tokens":["mudcloth","lumbar"],"category":true}
brown-yellow-pillow|Brown Yellow Pillow|textiles|2238|Brown Yellow Grey Wool Pillow|pillows-throws|3|3|true|3||||{"shared_tokens":["brown","yellow"],"category":true}
green-olive-velvet-lumbar|Green Olive Velvet Lumbar|textiles|3453|Green Sage Velvet|pillows-throws|3|3|true|0||||{"shared_tokens":["green","velvet"],"category":true}
breen-olive-velvet-pillow|Breen Olive Velvet Pillow|textiles|2296|Green Olive Velvet Pillow|pillows-throws|3|0|true|0|2297|Green Olive Velvet Lumbar Pillow|3|{"shared_tokens":["olive","velvet"],"category":true}
green-sage-lumbar|Green Sage Lumbar|textiles|3453|Green Sage Velvet|pillows-throws|3|3|false|0||||{"shared_tokens":["green","sage"],"category":true}
green-sage-velvet-pillow|Green Sage Velvet Pillow|textiles|2296|Green Olive Velvet Pillow|pillows-throws|3|0|false|0|2297|Green Olive Velvet Lumbar Pillow|3|{"shared_tokens":["green","velvet"],"category":true}
ivory-linen-lumbar|Ivory Linen Lumbar|textiles|2783|Ivory Mudcloth Lumbar|pillows-throws|3|3|false|0||||{"shared_tokens":["ivory","lumbar"],"category":true}
ivory-mud-cloth-lumbar|Ivory Mud Cloth Lumbar|textiles|2783|Ivory Mudcloth Lumbar|pillows-throws|3|3|false|0||||{"shared_tokens":["ivory","lumbar"],"category":true}
fringe-smoke-blue-throw|Fringe Blue Grey Throw|textiles|3593|Fringe Blue Smoke Throw|pillows-throws|3|3|true|3||||{"shared_tokens":["fringe","blue"],"category":true}
ravindra-set|Ravindra Wire & Leather Basket|styling|3023|Faye Black Leather Basket|styling|3|0|false|0|3022|Mae Sand Leather Basket|3|{"shared_tokens":["leather","basket"],"category":true}
ignatius-gold-scale|Ignatius Gold Scale|styling|3010|Ignatius Brass Balancing Scale|styling|3|3|true|3||||{"shared_tokens":["ignatius","scale"],"category":true}
pliney-h-frame-easel|Pliney H Frame Easel|styling|2881|Pliny H Frame Easel|styling|3|3|true|3||||{"shared_tokens":["frame","easel"],"category":true}
elgin-pony-bookends|Elgin Pony Bookends|styling|2874|Elgin Pony Bronze Bookend Set|styling|3|0|true|3|2873|Elgin Pony Silver Bookend Set|3|{"shared_tokens":["elgin","pony"],"category":true}
jacen-indoor-fireplace|Jacen Indoor Fireplace|large-decor|3542|Jacen Indoor Firepit|large-decor|3|3|true|3||||{"shared_tokens":["jacen","indoor"],"category":true}
frost-antler-lamp|Frost Antler Lamp|light|2768|Frost White Antler Table Lamp|lighting|3|3|true|3||||{"shared_tokens":["frost","antler"],"category":true}
regina-brass-lamp|Regina Brass Lamp|light|2766|Regina Brass Table Lamp|lighting|3|3|true|3||||{"shared_tokens":["regina","brass"],"category":true}
rodrick-brass-cab-lamp|Rodrick Brass Cab Lamp|light|4037|Rodrick Brass Cabaret Lamp|lighting|3|3|true|3||||{"shared_tokens":["rodrick","brass"],"category":true}
gisel-green-fringe-lamp|Gisel Green Fringe Lamp|light|3535|Giesel Green Fringe Lamp|lighting|3|3|true|3||||{"shared_tokens":["green","fringe"],"category":true}
gemma-sage-glass-lamp|Gemma Sage Glass Lamp|light|2964|Gemma Sage Glass Table Lamp|lighting|3|3|true|3||||{"shared_tokens":["gemma","sage"],"category":true}
